,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
6,Rikitea,PF,76.64,scattered clouds,-23.1203,-134.9692,Chez Bianca & Benoit
9,Atuona,PF,77.67,few clouds,-9.8,-139.0333,Pearl Resort
10,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
17,Hithadhoo,MV,80.58,few clouds,-0.6,73.0833,Pebbles Inn
22,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
24,Necochea,AR,78.03,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
27,Hilo,US,70.25,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
48,Beira,MZ,80.62,clear sky,-19.8436,34.8389,Hotel Savoy
50,Waingapu,ID,78.28,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
52,Ponta Do Sol,PT,71.13,few clouds,32.6667,-17.1,Estalagem Ponta do Sol
59,Hualmay,PE,74.35,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
61,Cape Town,ZA,78.35,clear sky,-33.9258,18.4232,Townhouse Hotel
64,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti International Resort
69,Salalah,OM,78.89,clear sky,17.0151,54.0924,Muscat International Hotel
70,Gladstone,AU,75.13,scattered clouds,-23.85,151.25,Gladstone Downtown Central
73,Upata,VE,83.19,overcast clouds,8.0086,-62.3989,Hotel Garibardi
75,Yeppoon,AU,76.78,broken clouds,-23.1333,150.7333,Blossom's on Seaspray
82,Ngaoundere,CM,73.96,scattered clouds,7.3167,13.5833,LA CONCORDE
83,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
85,Aranos,,87.78,broken clouds,-24.1333,19.1167,Aranos Hotel
93,Luderitz,,80.69,clear sky,-26.6481,15.1594,Seaview Hotel Zum Sperrgebiet
96,Port Blair,IN,73.44,mist,11.6667,92.75,Andaman Ocean Breeze
98,Chuy,UY,87.42,clear sky,-33.6971,-53.4616,Alerces
100,Moerai,PF,77.18,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
101,Banjar,ID,78.28,light rain,-8.19,114.9675,Villa Banjar Beach
103,Hermanus,ZA,70.81,clear sky,-34.4187,19.2345,Aloe guest house
105,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
107,Cabo San Lucas,MX,76.51,few clouds,22.8909,-109.9124,Comfort Rooms
108,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
117,Noumea,NC,80.01,broken clouds,-22.2763,166.4572,Hotel Gondwana
120,Pisco,PE,77.05,few clouds,-13.7,-76.2167,La Portada
122,Sibolga,ID,74.57,overcast clouds,1.7427,98.7792,Hotel Prima Indah
123,Sagua La Grande,CU,83.39,light rain,22.8067,-80.0756,Hotel Telégrafo
135,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Hotel SkylineInn
139,Bamako,ML,88.21,clear sky,12.65,-8.0,Grand Hotel
150,Bengkulu,ID,75.16,light rain,-3.8004,102.2655,Dena Hotel
156,Mayumba,GA,79.75,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
166,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Terra Sur
174,Castro,BR,75.58,broken clouds,-24.7911,-50.0119,Hotel Central Palace
179,Barinitas,VE,83.68,few clouds,8.7622,-70.4111,Hotel EL Jardin
181,Moyale,KE,74.25,scattered clouds,3.5167,39.0584,Nicest
182,Eenhana,,82.35,light rain,-17.4667,16.3333,Monte Carlo Guesthouse
183,Matara,LK,73.71,overcast clouds,5.9485,80.5353,Villa Palm Breeze
191,Gizo,SB,81.59,overcast clouds,-8.103,156.8419,Gizo Hotel
195,Tocopilla,CL,72.79,overcast clouds,-22.092,-70.1979,hotel Isidora
201,Lahaina,US,74.8,scattered clouds,20.8783,-156.6825,Best Western Pioneer Inn
204,Kendari,ID,75.87,overcast clouds,-3.945,122.4989,City Hotel Kendari
205,Faanui,PF,80.02,light rain,-16.4833,-151.75,Oa Oa Lodge
209,La Curva,PH,76.33,broken clouds,12.4048,121.0459,Villa paulina resort and spa
215,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Grand Bel Air
219,Tucupita,VE,85.55,broken clouds,9.0622,-62.051,Hotel salma suit
220,Koumac,NC,78.22,few clouds,-20.5667,164.2833,Monitel Koumac
221,Kuching,MY,77.22,few clouds,1.55,110.3333,Hotel Samudera
229,Imbituba,BR,78.28,clear sky,-28.24,-48.6703,Silvestre Praia Hotel
234,Caravelas,BR,84.87,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
235,Kavieng,PG,80.64,overcast clouds,-2.5744,150.7967,Kavieng Hotel
238,Sambava,MG,77.05,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
239,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Vahiny Hotel
240,Weligama,LK,73.78,overcast clouds,5.9667,80.4167,Basecamp
242,Brandon,US,78.1,clear sky,27.9378,-82.2859,Brandon Motor Lodge
249,Takoradi,GH,82.49,few clouds,4.8845,-1.7554,Hillcrest
252,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Horisun
254,Sao Filipe,CV,72.79,clear sky,14.8961,-24.4956,Bela Vista
262,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
266,Paka,MY,76.93,overcast clouds,4.6374,103.4368,Paka Inn
