,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Adrar,MR,20.5022,-10.0711,72.05,16,100,8.97,overcast clouds
1,Avarua,CK,-21.2078,-159.775,78.85,89,75,5.75,light rain
2,Umm Lajj,SA,25.0213,37.2685,73.98,51,1,11.52,clear sky
3,Puerto Leguizamo,CO,-0.1934,-74.7819,94.01,34,66,5.77,broken clouds
4,Barrow,US,71.2906,-156.7887,-0.38,78,100,9.22,overcast clouds
5,Kyra,RU,49.5776,111.9753,-4.34,90,5,6.15,clear sky
6,Rikitea,PF,-23.1203,-134.9692,76.64,73,35,5.44,scattered clouds
7,Tiksi,RU,71.6872,128.8694,-3.5,95,100,12.95,overcast clouds
8,Likasi,CD,-10.9814,26.7333,61.65,98,100,2.59,light rain
9,Atuona,PF,-9.8,-139.0333,77.67,76,17,18.01,few clouds
10,Talara,PE,-4.5772,-81.2719,86.76,51,0,18.41,clear sky
11,Pipri,IN,19.8,75.5333,70.83,41,1,5.28,clear sky
12,Jamestown,US,42.097,-79.2353,55.04,47,100,10.36,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,96.84,25,0,28.77,clear sky
14,Nikolskoye,RU,59.7035,30.7861,37.29,99,100,6.55,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,40.62,99,50,1.32,scattered clouds
16,Polunochnoye,RU,60.8697,60.4153,-18.81,99,100,3.44,overcast clouds
17,Hithadhoo,MV,-0.6,73.0833,80.58,74,18,6.06,few clouds
18,San Quintin,MX,30.4833,-115.95,61.27,67,48,6.53,scattered clouds
19,Batagay,RU,67.6333,134.6333,-36.92,100,84,2.01,broken clouds
20,Totness,SR,5.8833,-56.3167,80.98,78,20,10.31,few clouds
21,Margate,GB,51.3813,1.3862,54.9,86,100,7.0,overcast clouds
22,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,51,3.18,light rain
23,Asau,RO,46.4333,26.4,45.52,92,48,6.02,scattered clouds
24,Necochea,AR,-38.5473,-58.7368,78.03,46,1,16.87,clear sky
25,Dhekiajuli,IN,26.7,92.5,56.97,61,5,3.76,clear sky
26,Kysyl-Syr,RU,63.8986,122.7617,-9.87,98,99,5.3,overcast clouds
27,Hilo,US,19.7297,-155.09,70.25,75,100,6.91,overcast clouds
28,Albany,US,42.6001,-73.9662,49.37,62,100,3.56,overcast clouds
29,Kaitangata,NZ,-46.2817,169.8464,45.1,91,56,1.66,broken clouds
30,Wentzville,US,38.8114,-90.8529,46.87,80,100,5.01,overcast clouds
31,Serebryansk,KZ,49.6925,83.2892,19.18,96,100,3.91,light snow
32,Oksfjord,NO,70.2396,22.3479,33.98,85,94,13.42,overcast clouds
33,Montrose,US,38.4166,-108.2673,24.44,83,93,3.74,overcast clouds
34,Qasigiannguit,GL,68.8193,-51.1922,-5.06,98,99,5.32,overcast clouds
35,Mezen,RU,65.8522,44.24,2.97,96,75,8.46,broken clouds
36,Half Moon Bay,US,37.4636,-122.4286,60.87,96,100,8.05,mist
37,Kapaa,US,22.0752,-159.319,67.98,88,75,5.75,broken clouds
38,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,3.44,light snow
39,Zhigansk,RU,66.7697,123.3711,-14.21,97,100,1.61,overcast clouds
40,Busselton,AU,-33.65,115.3333,61.41,81,78,10.69,broken clouds
41,Khatanga,RU,71.9667,102.5,-9.17,85,99,19.46,overcast clouds
42,Narsaq,GL,60.9167,-46.05,5.22,71,0,5.59,clear sky
43,Liepaja,LV,56.5419,21.0367,42.78,87,100,19.57,overcast clouds
44,New Norfolk,AU,-42.7826,147.0587,60.3,83,97,1.19,overcast clouds
45,Constitucion,CL,-35.3333,-72.4167,68.86,65,5,8.41,clear sky
46,East London,ZA,-33.0153,27.9116,67.14,68,75,8.05,broken clouds
47,Port Alfred,ZA,-33.5906,26.891,68.18,75,49,4.0,scattered clouds
48,Beira,MZ,-19.8436,34.8389,80.62,72,2,11.99,clear sky
49,Svetlaya,RU,46.5389,138.3297,10.6,69,3,8.21,clear sky
50,Waingapu,ID,-9.6567,120.2641,78.28,81,100,14.81,overcast clouds
51,Shingu,JP,33.7333,135.9833,37.47,78,10,7.16,clear sky
52,Ponta Do Sol,PT,32.6667,-17.1,71.13,50,13,7.4,few clouds
53,Nome,US,64.5011,-165.4064,10.47,85,0,11.5,clear sky
54,Bluff,NZ,-46.6,168.3333,48.76,79,21,5.12,few clouds
55,Bredasdorp,ZA,-34.5322,20.0403,66.61,58,0,18.05,clear sky
56,Mount Gambier,AU,-37.8333,140.7667,56.21,94,59,3.91,broken clouds
57,Northam,GB,51.0333,-4.2167,51.39,93,100,17.11,overcast clouds
58,Tanout,NE,14.9709,8.8879,68.74,11,30,13.49,scattered clouds
59,Hualmay,PE,-11.0964,-77.6139,74.35,73,100,13.44,overcast clouds
60,Nanortalik,GL,60.1432,-45.2371,17.56,71,2,17.34,clear sky
61,Cape Town,ZA,-33.9258,18.4232,78.35,49,0,13.8,clear sky
62,Fort Smith,US,35.3859,-94.3986,59.18,53,0,4.61,clear sky
63,Trofors,NO,65.5333,13.4063,31.87,94,99,5.39,overcast clouds
64,Vaini,TO,-21.2,-175.2,75.36,94,75,5.75,moderate rain
65,Ushuaia,AR,-54.8,-68.3,49.62,81,100,34.52,light rain
66,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,85.33,63,42,4.25,scattered clouds
67,Taoudenni,ML,22.6783,-3.9836,77.95,17,100,12.33,overcast clouds
68,Iqaluit,CA,63.7506,-68.5145,-18.67,76,40,12.66,scattered clouds
