City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,2022-12-30 16:01:33,5.4112,100.3354,80.53,65,20,5.75
1,Vanimo,PG,2022-12-30 16:01:51,-2.6741,141.3028,76.82,87,97,5.41
2,Hamilton,US,2022-12-30 15:58:11,39.1834,-84.5333,59.63,67,100,3.0
3,Hobart,AU,2022-12-30 15:57:08,-42.8794,147.3294,60.66,94,100,5.75
4,Norman Wells,CA,2022-12-30 16:01:52,65.282,-126.8329,-10.53,97,93,5.26
5,Kieta,PG,2022-12-30 16:00:36,-6.2167,155.6333,77.92,79,100,6.15
6,Little Current,CA,2022-12-30 16:01:52,45.9793,-81.9248,47.41,97,100,3.0
7,Albany,US,2022-12-30 15:59:06,42.6001,-73.9662,45.36,64,100,2.8
8,Tiksi,RU,2022-12-30 16:01:53,71.6872,128.8694,-4.05,97,100,13.33
9,Klaksvik,FO,2022-12-30 16:01:54,62.2266,-6.589,31.12,66,100,31.05
10,Busselton,AU,2022-12-30 16:01:54,-33.65,115.3333,62.13,80,72,11.59
11,Palmer,US,2022-12-30 15:59:35,42.1584,-72.3287,55.67,53,18,5.14
12,Ferkessedougou,CI,2022-12-30 16:01:55,9.6,-5.2,94.53,9,20,8.63
13,Vaini,TO,2022-12-30 16:01:55,-21.2,-175.2,76.93,86,100,9.62
14,Mataura,NZ,2022-12-30 16:01:55,-46.1927,168.8643,40.93,98,54,1.52
15,Cherdyn,RU,2022-12-30 16:01:56,60.403,56.4787,-0.65,94,100,4.74
16,Saint-Philippe,RE,2022-12-30 16:01:56,-21.3585,55.7679,80.19,78,52,2.82
17,Mahibadhoo,MV,2022-12-30 16:01:57,3.7833,72.9667,81.27,76,13,15.32
18,Bathsheba,BB,2022-12-30 16:01:57,13.2167,-59.5167,79.81,77,17,18.63
19,Upernavik,GL,2022-12-30 16:01:58,72.7868,-56.1549,-8.21,90,100,3.65
20,Nikolskoye,RU,2022-12-30 16:01:58,59.7035,30.7861,37.29,99,100,6.96
